master_id,record_id,title,year,authors,journal,doi,pmid,final_layer,primary_domain,secondary_domain,primary_study_list_status,clinical_summary,critical_warnings,causal_scope,adjudication_status,citation,country_or_region,objective,review_type,protocol_registration,databases,search_end_date,language_limits,grey_literature,eligibility_summary,n_included_reports,n_unique_primary_studies,n_cohorts_if_reported,total_participants,inph_participants,shunted_participants,study_designs,shunt_types,predictor_modalities,comparator_or_reference_standard,outcome_domains,follow_up,synthesis_method,meta_analysis,primary_study_rob_tool,certainty_method,funding,conflicts,pdf,pages
FT-032,INPH-U0625,Prognostic Utility of Disproportionately Enlarged Subarachnoid Space Hydrocephalus in Idiopathic Normal Pressure Hydrocephalus Treated with Ventriculoperitoneal Shunt Surgery: A Systematic Review and Meta-analysis.,2021,"Park HY(1), Park CR(2), Suh CH(3), Kim MJ(1), Shim WH(1), Kim SJ(1).",American Journal of Neuroradiology (2021) 42:8 (1429-1436). Date of Publication: 1 Aug 2021,10.3174/ajnr.a7168,34045302.0,A,Structural imaging,DESH prognostic utility,INCOMPLETE_OR_PLACEHOLDER,"DESH presence may support diagnosis, but absence is not a valid exclusion criterion.",No standardized DESH assessment; heterogeneity; guideline-dependent case definition.,Diagnostic prediction.,ADJUDICATED_FINAL,Park HY(1) et al. (2021). Prognostic Utility of Disproportionately Enlarged Subarachnoid Space Hydrocephalus in Idiopathic Normal Pressure Hydrocephalus Treated with Ventriculoperitoneal Shunt Surgery: A Systematic Review and Meta-analysis. American Journal of Neuroradiology (2021) 42:8 (1429-1436). Date of Publication: 1 Aug 2021. DOI: 10.3174/ajnr.a7168.,South Korea,Estimate prevalence and prognostic performance of DESH for response after VP shunt in iNPH.,Systematic review and meta-analysis,NR,"MEDLINE, Embase",NR,NR,NR,iNPH treated with VPS; studies reporting DESH prevalence or diagnostic performance for treatment response.,10,10,NÃO_EXTRAÍVEL,812,812,812,"3 prospective, 7 retrospective",VP shunt,DESH,Post-shunt treatment response,Global/composite response,Varied,Random-effects prevalence and diagnostic meta-analysis,YES,QUADAS-2,NR,NR,NR,MESCLADOS 2,184-191
FT-034,INPH-U0656,Usefulness of Brain Positron Emission Tomography with Different Tracers in the Evaluation of Patients with Idiopathic Normal Pressure Hydrocephalous.,2020,"Mattoli, Maria Vittoria Treglia, Giorgio Calcagni, Maria Lucia Mangiola, Annunziato Anile, Carmelo Trevisi, Gianluca",International Journal of Molecular Sciences (2020) 21:18 (1-22) Article Number: 6523. Date of Publication: 2 Sep 2020,10.3390/ijms21186523,32906629.0,A-PARCIAL,Functional/hemodynamic imaging,PET and molecular imaging,INCOMPLETE_OR_PLACEHOLDER,PET may clarify copathology in selected ambiguous patients but is not established as routine shunt-selection testing.,Only prognostic subsets are eligible; small tracer-specific cohorts; diagnostic and pre/post physiologic findings dominate.,Prognostic association in a subset.,ADJUDICATED_FINAL,Mattoli et al. (2020). Usefulness of Brain Positron Emission Tomography with Different Tracers in the Evaluation of Patients with Idiopathic Normal Pressure Hydrocephalous. International Journal of Molecular Sciences (2020) 21:18 (1-22) Article Number: 6523. Date of Publication: 2 Sep 2020. DOI: 10.3390/ijms21186523.,Italy,"Assess usefulness of PET tracers in iNPH, including prediction of shunt response where reported.",Systematic review,NR,"PubMed/MEDLINE, Cochrane Library, Scopus",30 May 2020,NR,Reference lists,PET/PET-CT studies with at least 3 iNPH patients; five overlapping reports excluded.,31,31,NÃO_EXTRAÍVEL,674,674,NÃO_EXTRAÍVEL,Observational imaging studies,Shunt in prognostic subset,"FDG, amyloid and other PET tracers",Diagnosis/differential diagnosis; shunt response subset,Global/cognition/gait where reported,Varied,Structured qualitative synthesis,NO,NR,NR,NR,NR,MESCLADOS 2,100-121
FT-036,INPH-U0672,Extended lumbar drainage in idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis of diagnostic test accuracy.,2020,"Nunn, Adam C. Jones, Hayley E. Morosanu, Cezar O. Singleton, William G. B. Williams, Michael A. Nagel, Sean J. Luciano, Mark G. Zwimpfer, Thomas J. Holubkov, Richard Wisoff, Jeffrey H. McKhann, Guy M., II Hamilton, Mark G. Edwards, Richard J.",Br J Neurosurg. 2021 Jun;35(3):285-291. doi: 10.1080/02688697.2020.1787948. Epub,10.1080/02688697.2020.1787948,32643967.0,A,Temporary CSF drainage and CSF dynamics,Extended lumbar drainage,INCOMPLETE_OR_PLACEHOLDER,"ELD can be useful after equivocal assessment, but apparent accuracy should not be presented as precise or universally transportable.",Only four small studies; historical valves/management; residual selection/verification bias; prevalence-dependent predictive values.,Diagnostic prediction.,ADJUDICATED_FINAL,Nunn et al. (2020). Extended lumbar drainage in idiopathic normal pressure hydrocephalus: a systematic review and meta-analysis of diagnostic test accuracy. Br J Neurosurg. 2021 Jun;35(3):285-291. doi: 10.1080/02688697.2020.1787948. Epub. DOI: 10.1080/02688697.2020.1787948.,UK,Estimate diagnostic accuracy of extended lumbar drainage for predicting shunt response in iNPH.,Systematic review and diagnostic meta-analysis,CRD42018110518,"Multiple databases including MEDLINE, Embase and Cochrane",NR,NR,NR,"Predominantly iNPH (>80%), ELD performed, intended shunting regardless of ELD result, extractable 2×2 data.",4,4,NÃO_EXTRAÍVEL,84,At least 88%-100% iNPH,84,Diagnostic-accuracy cohorts,"Shunt, varied",Extended lumbar drainage,Post-shunt response,"Global/gait, heterogeneous",0.25-12 months (mean 4.3),Bivariate random-effects diagnostic meta-analysis,YES,QUADAS-2,NR,NR,NR,MESCLADOS 2,141-148
FT-038,INPH-U0709,A systematic review of the diagnostic utility of simple tests of change after trial removal of cerebrospinal fluid in adults with normal pressure hydrocephalus.,2018,"Scully, Aileen Eugenia Lim, Edwin Choon Wyn Teow, Pei Pei Tan, Dawn May Leng",Clinical rehabilitation (2018) 32:7 (942-953). Date of Publication: 1 Jul 2018,10.1177/0269215518760126,29514517.0,A+B,Temporary CSF drainage and CSF dynamics,Measurement after trial CSF removal,INCOMPLETE_OR_PLACEHOLDER,Use standardized gait/cognitive change as one component of selection; a negative single measure remains insufficient to exclude.,Mixed NPH; wide confidence intervals; threshold heterogeneity; selective availability for meta-analysis.,Diagnostic prediction through response measurement.,ADJUDICATED_FINAL,Scully et al. (2018). A systematic review of the diagnostic utility of simple tests of change after trial removal of cerebrospinal fluid in adults with normal pressure hydrocephalus. Clinical rehabilitation (2018) 32:7 (942-953). Date of Publication: 1 Jul 2018. DOI: 10.1177/0269215518760126.,Australia,Assess diagnostic utility of simple change tests after trial CSF removal for predicting shunt outcome.,Systematic review and diagnostic meta-analysis,NR,"MEDLINE, Scopus, Web of Science, Cochrane, PsycINFO, CINAHL",12 September 2017,NR,NR,"Adults with NPH, pre/post tap or ELD simple tests and subsequent shunt outcome.",29,29,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Prospective/retrospective diagnostic cohorts,Shunt,"18-m walk, video gait, cognition, TUG and other change tests",Post-shunt response,"Gait, cognition, global",Varied,HSROC/meta-analysis where possible,YES,QUADAS-2,NR,NR,NR,MESCLADOS 2,248-259
FT-039,INPH-U0723,Cerebrospinal Fluid Biomarkers as Predictors of Shunt Response in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review.,2018,"Pfanner, Tyler Henri-Bhargava, Alexandre Borchert, Stephanie",Canadian Journal of Neurological Sciences (2018) 45:1 (3-10). Date of Publication: 1 Jan 2018,10.1017/cjn.2017.251,29125088.0,A,Biomarkers and pathology,CSF biomarkers,INCOMPLETE_OR_PLACEHOLDER,Biomarker results may refine prognosis and identify copathology but are not independent gatekeepers.,Small evidence base; many single-study markers; outcome-definition bias; assay heterogeneity; overlap with later reviews.,Prognostic biomarker association.,ADJUDICATED_FINAL,Pfanner et al. (2018). Cerebrospinal Fluid Biomarkers as Predictors of Shunt Response in Idiopathic Normal Pressure Hydrocephalus: A Systematic Review. Canadian Journal of Neurological Sciences (2018) 45:1 (3-10). Date of Publication: 1 Jan 2018. DOI: 10.1017/cjn.2017.251.,Canada,Identify CSF biomarkers evaluated as predictors of shunt response in iNPH and grade evidence.,Systematic review,NR,"MEDLINE, Embase, PsycINFO",NR,NR,NR,iNPH lumbar CSF biomarkers reported separately in shunt responders and non-responders.,13,13,NÃO_EXTRAÍVEL,508,508,508,Observational biomarker studies,"Shunt, varied",37 CSF biomarkers,Responder versus non-responder,"Global, mRS, cognition, heterogeneous",Varied,Evidence synthesis by biomarker,NO,AAN evidence classes,AAN evidence classes,NR,NR,MESCLADOS 2,212-219
FT-041,INPH-U0759,The effect of shunt surgery on neuropsychological performance in normal pressure hydrocephalus: a systematic review and meta-analysis.,2016,"Peterson, Katie A. Savulich, George Jackson, Dan Killikelly, Clare Pickard, John D. Sahakian, Barbara J.",J Neurol. 2016 Aug;263(8):1669-77. doi: 10.1007/s00415-016-8097-0. Epub 2016 Mar,10.1007/s00415-016-8097-0,27017344.0,B,Cognition and neuropsychological outcomes,Post-shunt cognitive change,INCOMPLETE_OR_PLACEHOLDER,Measure cognitive domains directly and interpret group mean change separately from individual meaningful response.,Practice effects; pre-post design without controls; heterogeneous NPH; no publication-bias testing due small k.,Outcome measurement.,ADJUDICATED_FINAL,Peterson et al. (2016). The effect of shunt surgery on neuropsychological performance in normal pressure hydrocephalus: a systematic review and meta-analysis. J Neurol. 2016 Aug;263(8):1669-77. doi: 10.1007/s00415-016-8097-0. Epub 2016 Mar. DOI: 10.1007/s00415-016-8097-0.,UK,Quantify neuropsychological change after shunt surgery in NPH.,Systematic review and meta-analysis,NR,"PubMed, Web of Science, Google Scholar; manual searching",NR,NR,Manual search,Prospective within-subject neuropsychological assessment before and after shunt in NPH.,23,23,NÃO_EXTRAÍVEL,1059,NÃO_EXTRAÍVEL,1059,Prospective cohorts,"Shunt, varied","MMSE, RAVLT, digit span, fluency, TMT-A/B",Within-subject postoperative change,Cognition,Mostly 3-12 months,Seven random-effects meta-analyses,YES,NR,NR,NR,NR,MESCLADOS 2,203-211
FT-043,INPH-U0767,CSF tap test - Obsolete or appropriate test for predicting shunt responsiveness? A systemic review.,2016,"Mihalj, Mario Dolic, Kresimir Kolic, Kresimir Ledenko, Vlatko",Journal of the Neurological Sciences (2016) 362 (78-84). Date of Publication: 15 Mar 2016,10.1016/j.jns.2016.01.028,26944123.0,A,Temporary CSF drainage and CSF dynamics,Tap-test accuracy,COMPLETE_FOR_CCA,"A positive tap supports shunting; a negative tap should trigger reconsideration/other testing, not automatic exclusion.",Range summaries; partial verification; high prevalence inflates PPV; protocol and response heterogeneity.,Diagnostic prediction.,ADJUDICATED_FINAL,Mihalj et al. (2016). CSF tap test - Obsolete or appropriate test for predicting shunt responsiveness? A systemic review. Journal of the Neurological Sciences (2016) 362 (78-84). Date of Publication: 15 Mar 2016. DOI: 10.1016/j.jns.2016.01.028.,Croatia / international evidence,Evaluate the effect of CSF tap test on main symptoms and its validity for screening patients suitable for shunting.,Systematic review of diagnostic accuracy,A priori methods; no registry reported,PubMed; Ovid MEDLINE; Current Contents; ScienceDirect; EBSCO; Web of Science; Cochrane Database checked; reference lists and personal resources,"February 2015 (article states February 30, 2015)",No language restrictions,Unpublished data and conference proceedings excluded; manual/reference and personal-resource searching,NPH/iNPH diagnosed clinically and radiologically; at least two triad symptoms with gait mandatory; CSF tap test; post-shunt outcome as reference; at least two symptom domains; follow-up ≥3 months.,8,8,NÃO EXTRAÍVEL,482,NÃO EXTRAÍVEL (mixed NPH/iNPH in some cohorts),NÃO EXTRAÍVEL (partial verification in at least one cohort),8 prospective cohort studies,"Shunt, varied/NR",Large-volume CSF tap test; symptom response; opening pressure in one combined criterion,"Clinical outcome after shunting, follow-up ≥3 months","Gait, cognition, continence, global response",3–24 months across studies,Narrative diagnostic-accuracy synthesis with extracted/calculated 2×2 measures,NO,QUADAS / QUADAS-2 as reported,NR,NR,Authors declared no conflicts of interest,MESCLADOS 2,122-128
FT-044,INPH-U0787,Thresholds of resistance to CSF outflow in predicting shunt responsiveness.,2015,"Kim, Dong-Joo Kim, Hakseung Kim, Young-Tak Yoon, Byung C. Czosnyka, Zofia Park, Kun-Woo Czosnyka, Marek",Neurological Research (2015) 37:4 (332-340). Date of Publication: 1 Apr 2015,10.1179/1743132814y.0000000454,25323618.0,A-PARCIAL,Temporary CSF drainage and CSF dynamics,Rout thresholds,COMPLETE_FOR_CCA,"Rout is supportive, not exclusionary; threshold choice encodes a clinical tradeoff and should not be universalized.",Mixed infusion methods create major heterogeneity; outcome definitions vary; legacy NPH cohorts.,Diagnostic prediction.,ADJUDICATED_FINAL,Kim et al. (2015). Thresholds of resistance to CSF outflow in predicting shunt responsiveness. Neurological Research (2015) 37:4 (332-340). Date of Publication: 1 Apr 2015. DOI: 10.1179/1743132814y.0000000454.,South Korea/UK/USA,Determine the most useful Rout threshold for predicting shunt responsiveness in NPH.,Systematic review and meta-analysis,NR,"MEDLINE, Embase; manual references",9 January 2014,English,Reference lists,NPH studies with preoperative Rout and postoperative improvement; constant infusion/ventricular perfusion methods.,9,9,NÃO_EXTRAÍVEL,Up to 499 depending threshold,NO_SEPARABLE_UNIQUE_TOTAL,Up to 499 depending threshold,Mostly prospective/retrospective cohorts,"Shunt, varied","Rout thresholds 10, 12, 15, 18 mmHg/ml/min",Postoperative improvement,Global/composite,Varied,Fixed-effect Mantel-Haenszel meta-analysis by threshold,YES,No formal primary-study RoB tool reported,NR,NR,NR,MESCLADOS 2,1-9
FT-045,INPH-U0812,Treatment and clinical outcome in patients with idiopathic normal pressure hydrocephalus – A systematic review,2014,"Torsnes, Linnea Blafjelldal, Vibeke Poulsen, Frantz Rom",Danish Medical Journal (2014) 61:10 Article Number: A4911. Date of Publication: 1 Oct 2014,,25283616.0,A+B,Integrated selection and guidelines,Treatment and clinical outcome,INCOMPLETE_OR_PLACEHOLDER,Useful historical map; avoid quoting one pooled success rate without stratifying definition and follow-up.,Single database; language/date limits; broad narrative synthesis; risk-of-bias not formally integrated.,Prognostic association plus outcome measurement.,ADJUDICATED_FINAL,Torsnes et al. (2014). Treatment and clinical outcome in patients with idiopathic normal pressure hydrocephalus – A systematic review Danish Medical Journal (2014) 61:10 Article Number: A4911. Date of Publication: 1 Oct 2014. DOI: NR.,Norway,"Review diagnosis, treatment and outcome after shunting for iNPH.",Systematic review,NR,PubMed; reference lists,NR,English and Norwegian; after 1990,Reference lists,iNPH treatment/outcome articles matching clinical question.,43,43,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,~40% prospective; remainder retrospective,Shunt and some ETV,"Clinical features, timing, CSF dynamic tests",Postoperative outcome,"Global, gait, cognition, urinary",Short and long term,Narrative synthesis,NO,Risk-of-bias discussion but no standard tool,NR,NR,NR,MESCLADOS 3,165-171
FT-049,INPH-U0908,Noninvasive biomarkers in normal pressure hydrocephalus: Evidence for the role of neuroimaging - A review,2009,Tarnaris A.; Kitchen N.D.; Watkins L.D.,Journal of Neurosurgery (2009) 110:5 (837-851). Date of Publication: May 2009,10.3171/2007.9.17572,18991499.0,A-PARCIAL,Structural imaging,Non-invasive imaging biomarkers,INCOMPLETE_OR_PLACEHOLDER,Historical evidence does not justify stand-alone imaging selection rules.,"Old search; tiny prognostic studies; mixed NPH etiologies; Level A claim applies to secondary NPH, not iNPH.",Diagnostic prediction.,ADJUDICATED_FINAL,Tarnaris A.; Kitchen N.D.; Watkins L.D. et al. (2009). Noninvasive biomarkers in normal pressure hydrocephalus: Evidence for the role of neuroimaging - A review Journal of Neurosurgery (2009) 110:5 (837-851). Date of Publication: May 2009. DOI: 10.3171/2007.9.17572.,UK,Evaluate non-invasive imaging biomarkers correlated with surgical outcomes in NPH.,Systematic evidence review,NR,"MEDLINE/PubMed, Embase",1980-2006,English,Citation chasing,"Imaging-outcome studies specifying hydrocephalus type, clinical symptoms, ventriculomegaly/CSF dynamics and follow-up.",16,16,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Prospective and retrospective imaging cohorts,"Shunt, varied","CT/MRI, phase-contrast flow, SPECT/PET, spectroscopy",Surgical outcome,Global/composite,Varied,Narrative evidence synthesis with diagnostic-accuracy tables,NO,Oxford evidence levels,Oxford evidence levels,NR,NR,MESCLADOS 3,31-45
FT-050,INPH-U0975,"INPH guidelines, part III: The value of supplemental prognostic tests for the preoperative assessment of idiopathic normal-pressure hydrocephalus",2005,"Marmarou, A.; Bergsneider, M.; Klinge, P.; Relkin, N.; Black, P.Mc.L.",Neurosurgery (2005) 57:3 Suppl (S17-28; discussion ii-v). Date of Publication: Sep 2005,10.1227/01.neu.0000168184.01002.60,16160426.0,A,Integrated selection and guidelines,Supplemental prognostic tests,INCOMPLETE_OR_PLACEHOLDER,Positive supplementary tests increase confidence; low sensitivity means negative results should not exclude.,Legacy evidence; selected larger studies; nonstandard outcomes; no contemporary programmable-shunt pathway.,Diagnostic prediction.,ADJUDICATED_FINAL,"Marmarou et al. (2005). INPH guidelines, part III: The value of supplemental prognostic tests for the preoperative assessment of idiopathic normal-pressure hydrocephalus Neurosurgery (2005) 57:3 Suppl (S17-28; discussion ii-v). Date of Publication: Sep 2005. DOI: 10.1227/01.neu.0000168184.01002.60.",USA/Germany,Develop evidence-based guidance on supplemental preoperative prognostic tests in iNPH.,Evidence-based guideline/systematic review,NR,MEDLINE,1966-2004/2005,NR,NR,Clinically relevant shunted NPH studies; iNPH and secondary NPH separated in evidence tables.,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Clinical cohorts,Shunt,"Tap test, ELD, infusion/Rout, ICP, imaging/cisternography",Post-shunt response,Global/gait/cognition,Varied,Evidence tables and guideline synthesis,NO,Guideline evidence classes,Guideline evidence grades,NR,NR,MESCLADOS 2,88-99
FT-051,INPH-U0977,"INPH guidelines, part V: Outcome of shunting in idiopathic normal-pressure hydrocephalus and the value of outcome assessment in shunted patients",2005,Klinge P.; Marmarou A.; Bergsneider M.; Relkin N.; Black P.Mc.L.,Neurosurgery (2005) 57:3 Suppl (S40-52; discussion ii-v). Date of Publication: Sep 2005,10.1227/01.neu.0000168187.01077.2f,16160428.0,B,Patient-centered benefit and harm,Outcome assessment and complications,INCOMPLETE_OR_PLACEHOLDER,Prespecify domain-specific outcomes and assess at standardized intervals including 1 year and beyond.,Consensus partly supplements limited evidence; old management era; no MCID framework.,Outcome measurement.,ADJUDICATED_FINAL,"Klinge P.; Marmarou A.; Bergsneider M.; Relkin N.; Black P.Mc.L. et al. (2005). INPH guidelines, part V: Outcome of shunting in idiopathic normal-pressure hydrocephalus and the value of outcome assessment in shunted patients Neurosurgery (2005) 57:3 Suppl (S40-52; discussion ii-v). Date of Publication: Sep 2005. DOI: 10.1227/01.neu.0000168187.01077.2f.",USA/Germany,Develop guidance for assessment of outcome after shunting in iNPH.,Evidence-based guideline/systematic review,NR,MEDLINE,1966-2004/2005,NR,NR,iNPH outcome studies with groups of at least 20 patients.,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Clinical outcome cohorts,Shunt,"Outcome scales, follow-up protocols, function/QoL and complications",Post-shunt status,"Global, gait, cognition, urinary, function, complications",Short term to >5 years,Evidence tables plus expert guideline synthesis,NO,Guideline evidence classes,Consensus/evidence grades,NR,NR,MESCLADOS 2,10-22
FT-053,INPH-U1045,Idiopathic normal pressure hydrocephalus: a systematic review of diagnosis and outcome.,2001,Hebb A.O.; Cusimano M.D.,Neurosurgery (2001) 49:5 (1166-1186). Date of Publication: 2001,10.1097/00006123-200111000-00028,11846911.0,A+B,Integrated selection and guidelines,"Diagnosis, outcome, and complications",INCOMPLETE_OR_PLACEHOLDER,Balances potential benefit with substantial historical complication/reoperation burden; modern rates should not be assumed identical.,Mostly retrospective small series; no Grade I predictor studies; legacy shunts; wide ranges; overlapping reports.,Prognostic association and broad outcome.,ADJUDICATED_FINAL,Hebb A.O.; Cusimano M.D. et al. (2001). Idiopathic normal pressure hydrocephalus: a systematic review of diagnosis and outcome. Neurosurgery (2001) 49:5 (1166-1186). Date of Publication: 2001. DOI: 10.1097/00006123-200111000-00028.,Canada/USA,Identify diagnostic criteria predicting shunt response and formulate prognostic expectations for iNPH.,Systematic review,NR,MEDLINE,March 2000,NR,NR,Clinical shunting iNPH studies with objective grading of outcome and prespecified diagnostic/outcome criteria.,44,35,35,883,883,883,Mostly retrospective small series,"Shunt, varied","Clinical triad, CT, CBF/SPECT, cisternography, CSF dynamics, TT/ELD",Post-shunt response,"Global, gait, urinary, cognition, function, complications",Short and prolonged follow-up,Pooled descriptive outcomes and diagnostic-accuracy tables,PARTIAL/DESCRIPTIVE,Study evidence grading (I-IV),Evidence grades,NR,NR,MESCLADOS 1,205-225
FT-056,INPH-U1259,Technological Advances for Gait and Balance in Normal Pressure Hydrocephalus: A Systematic Review.,2025,"Zampogna, Alessandro Patera, Martina Falletti, Marco Pinola, Giulia Asci, Francesco Suppa, Antonio","(2025) Bioengineering, 12 (2), art. no. 135, Cited 1 times.",10.3390/bioengineering12020135,40001656.0,B,Gait and mobility measurement,Technology-assisted gait and balance,INCOMPLETE_OR_PLACEHOLDER,Use instrumented measures to standardize outcomes; do not market them as validated prognostic tests without longitudinal validation.,PubMed-only; diagnostic emphasis; limited longitudinal data; overlapping gait/balance samples.,Outcome measurement/diagnostic mapping.,ADJUDICATED_FINAL,"Zampogna et al. (2025). Technological Advances for Gait and Balance in Normal Pressure Hydrocephalus: A Systematic Review. (2025) Bioengineering, 12 (2), art. no. 135, Cited 1 times.. DOI: 10.3390/bioengineering12020135.",Italy,Review technological/instrumental assessment of gait and balance in NPH.,Systematic review,NR,PubMed,October 2024,English; January 2000-October 2024,NR,Original NPH studies using laboratory instruments for gait/balance.,54,54,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Mostly observational cross-sectional; few longitudinal,Tap test/shunt in subsets,"Pressure platforms, motion capture, inertial sensors, posturography",Controls or pre/post treatment,Gait and balance measurement,Mostly cross-sectional; limited longitudinal,Structured narrative synthesis,NO,Internal/statistical/external validity assessment,NR,NR,NR,MESCLADOS 3,215-242
FT-059,INPH-U1721,"Practice guideline: Idiopathic normal pressure hydrocephalus: Response to shunting and predictors of response: Report of the Guideline Development, Dissemination, and Implementation Subcommittee of the American Academy of Neurology.",2015,"Halperin JJ(1), Kurlan R(1), Schwalb JM(1), Cusimano MD(1), Gronseth G(1), Gloss D(1).",Neurology. 2015 Dec 8;85(23):2063-71. doi: 10.1212/WNL.0000000000002193.,10.1212/wnl.0000000000002193,26644048.0,A,Integrated selection and guidelines,"Response, predictors, and serious adverse events",INCOMPLETE_OR_PLACEHOLDER,Counsel on benefit and nontrivial risk; predictors adjust probability but do not establish who uniquely benefits causally.,Guideline-era evidence; many studies have limited generalizability; evidence classes differ from modern RoB tools.,Prognostic prediction; no treatment–predictor interaction.,ADJUDICATED_FINAL,"Halperin JJ(1) et al. (2015). Practice guideline: Idiopathic normal pressure hydrocephalus: Response to shunting and predictors of response: Report of the Guideline Development, Dissemination, and Implementation Subcommittee of the American Academy of Neurology. Neurology. 2015 Dec 8;85(23):2063-71. doi: 10.1212/WNL.0000000000002193.. DOI: 10.1212/wnl.0000000000002193.",USA/Canada,Evaluate shunting efficacy and predictors of response in iNPH and issue AAN recommendations.,AAN practice guideline systematic evidence review,NR,"MEDLINE, Cochrane; updated search 2012-November 2013",November 2013 plus two later studies,NR,NR,"iNPH/suspected iNPH studies ≥10 patients, comparison group, follow-up ≥3 months; case reports/reviews excluded.",36,36,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,NÃO_EXTRAÍVEL,Therapeutic and prognostic cohorts,Shunt,"Rout, acetazolamide CBF reactivity, ELD/repeated LP, age, imaging",Shunt response,"Subjective global, gait, cognition, serious adverse events",6 months to 5 years,Evidence classification and modified GRADE-linked recommendations,NO,AAN Class I-IV,AAN-modified GRADE,NR,NR,MESCLADOS 1,182-190
