effect_id,master_id,analysis_cell,microcell_id,predictor,outcome,time,effect_measure,threshold,source_type,umbrella_role,selected_as_anchor,own_cohort_or_hybrid_excluded,exact_microcell_fields_present,complete_estimate_and_interval,paired_accuracy_reporting_available,robis_consensus_overall,primary_study_list_status,n_unique_primary_studies,studies_k,participants_n,search_end_date,year,selection_or_exclusion_reason,hierarchy
FE-0133,FT-021,AI_MODELS,AI_MODELS | AI models reporting AUC | Shunt response | Varied | AUC range | NR,AI models reporting AUC,Shunt response,Varied,AUC range,NR,CODEX_COMPLEMENTARY_EXTRACTION,EXPLORATORY_NO_POOL,False,False,True,True,False,UNCLEAR,INCOMPLETE_OR_PLACEHOLDER,8,4,NR,NR,2024,Exploratory or non-comparable estimate; retained descriptively and not eligible as an anchor.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0124,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | RAVLT delayed | Post-shunt mean change | Post-shunt; varied | MD | NR,RAVLT delayed,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,11,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0146,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | RAVLT delayed | Post-shunt mean change | Post-shunt; varied | MD | NR,RAVLT delayed,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,7,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0123,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | RAVLT learning | Post-shunt mean change | Post-shunt; varied | MD | NR,RAVLT learning,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,12,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0145,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | RAVLT total | Post-shunt mean change | Post-shunt; varied | MD | NR,RAVLT total,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,7,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0001,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Shunt surgery | Any cognitive improvement | Post-shunt; varied | Pooled proportion (%) | NR,Shunt surgery,Any cognitive improvement,Post-shunt; varied,Pooled proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0002,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Shunt surgery | Objectively defined cognitive improvement | Post-shunt; varied | Pooled proportion (%) | NR,Shunt surgery,Objectively defined cognitive improvement,Post-shunt; varied,Pooled proportion (%),,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,NÃO EXTRAÍVEL,NÃO EXTRAÍVEL,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0150,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | TMT-A | Post-shunt mean change | Post-shunt; varied | MD | NR,TMT-A,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,13,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0149,FT-041,COGNITIVE_CHANGE,COGNITIVE_CHANGE | TMT-B | Post-shunt mean change | Post-shunt; varied | MD | NR,TMT-B,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,SUPPORTING_CONCORDANCE_ONLY,False,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,23,9,NR,NR,2016,Eligible supporting estimate; not selected after matched-cell adjudication and retained only for direction/concordance.,"1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0122,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Trail Making Test A | Post-shunt mean change | Post-shunt; varied | MD | NR,Trail Making Test A,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,21,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0120,FT-002,COGNITIVE_CHANGE,COGNITIVE_CHANGE | Trail Making Test B | Post-shunt mean change | Post-shunt; varied | MD | NR,Trail Making Test B,Post-shunt mean change,Post-shunt; varied,MD,NR,CODEX_COMPLEMENTARY_EXTRACTION,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,195,13,NR,NR,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0069,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Extended lumbar drainage | Shunt response | Varied | AUC | Study-specific,Extended lumbar drainage,Shunt response,Varied,AUC,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0068,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Extended lumbar drainage | Shunt response | Varied | DOR | Study-specific,Extended lumbar drainage,Shunt response,Varied,DOR,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0071,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Infusion test | Shunt response | Varied | AUC | Study-specific,Infusion test,Shunt response,Varied,AUC,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0070,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Infusion test | Shunt response | Varied | DOR | Study-specific,Infusion test,Shunt response,Varied,DOR,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0067,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Intracranial pressure monitoring | Shunt response | Varied | AUC | Study-specific,Intracranial pressure monitoring,Shunt response,Varied,AUC,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0066,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Intracranial pressure monitoring | Shunt response | Varied | DOR | Study-specific,Intracranial pressure monitoring,Shunt response,Varied,DOR,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0073,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Tap test | Shunt response | Varied | AUC | Study-specific,Tap test,Shunt response,Varied,AUC,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0072,FT-031,COMPARATIVE_PROGNOSTIC_TESTS,COMPARATIVE_PROGNOSTIC_TESTS | Tap test | Shunt response | Varied | DOR | Study-specific,Tap test,Shunt response,Varied,DOR,Study-specific,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,HIGH,INCOMPLETE_OR_PLACEHOLDER,35,NÃO EXTRAÍVEL,NR,NR,2021,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0005,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt Cognition | Varied | SMCR | NR,Complex iNPH; within-group pre-post,Post-shunt Cognition,Varied,SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,9 studies / 9 effects,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0006,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt Gait | Varied | SMCR | NR,Complex iNPH; within-group pre-post,Post-shunt Gait,Varied,SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,9 studies / 10 effects,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0007,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt General function | Varied | SMCR | NR,Complex iNPH; within-group pre-post,Post-shunt General function,Varied,SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,6 studies / 8 effects,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0008,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex iNPH; within-group pre-post | Post-shunt Incontinence | Varied | SMCR | NR,Complex iNPH; within-group pre-post,Post-shunt Incontinence,Varied,SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,5 studies / 5 effects,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0009,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt Cognition change | Varied | Difference in SMCR | NR,Complex minus pure iNPH phenotype,Difference in post-shunt Cognition change,Varied,Difference in SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,NR,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0010,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt Gait change | Varied | Difference in SMCR | NR,Complex minus pure iNPH phenotype,Difference in post-shunt Gait change,Varied,Difference in SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,NR,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0011,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt General function change | Varied | Difference in SMCR | NR,Complex minus pure iNPH phenotype,Difference in post-shunt General function change,Varied,Difference in SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,NR,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0012,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex minus pure iNPH phenotype | Difference in post-shunt Incontinence change | Varied | Difference in SMCR | NR,Complex minus pure iNPH phenotype,Difference in post-shunt Incontinence change,Varied,Difference in SMCR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,NR,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0003,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex vs pure iNPH phenotype | Global shunt response | Varied follow-up | OR | NR,Complex vs pure iNPH phenotype,Global shunt response,Varied follow-up,OR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,3,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0004,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Complex vs pure iNPH phenotype | Urinary improvement | Mean ~4 months / varied | OR | NR,Complex vs pure iNPH phenotype,Urinary improvement,Mean ~4 months / varied,OR,,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,False,UNCLEAR,COMPLETE_FOR_CCA,19,3,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0013,FT-003,COMPLEX_PHENOTYPE,COMPLEX_PHENOTYPE | Phenotype × follow-up time | Incontinence trajectory | Months | Meta-regression beta (SMCR/month) | NR,Phenotype × follow-up time,Incontinence trajectory,Months,Meta-regression beta (SMCR/month),,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,False,False,UNCLEAR,COMPLETE_FOR_CCA,19,NR,NR,January 2026,2026,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0077,FT-036,ELD_DTA,ELD_DTA | Extended lumbar drainage | Post-shunt response | Varied | NPV | Study-specific ELD response,Extended lumbar drainage,Post-shunt response,Varied,NPV,Study-specific ELD response,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,True,LOW,INCOMPLETE_OR_PLACEHOLDER,4,4,84,NR,2020,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
FE-0076,FT-036,ELD_DTA,ELD_DTA | Extended lumbar drainage | Post-shunt response | Varied | PPV | Study-specific ELD response,Extended lumbar drainage,Post-shunt response,Varied,PPV,Study-specific ELD response,SYSTEMATIC_REVIEW_COMPONENT,ANCHOR_ESTIMATE_FOR_CELL,True,False,True,True,True,LOW,INCOMPLETE_OR_PLACEHOLDER,4,4,84,NR,2020,"Selected after exact microcell matching and two-reviewer adjudication using reporting completeness, lower ROBIS, usable primary-study lists/overlap data, evidence-base size and search recency; magnitude and direction were not selection criteria.","1 exclude own-cohort/hybrid estimates; 2 require exact predictor-outcome-time-measure-threshold microcell; 3 prefer complete paired/interval reporting; 4 prefer lower ROBIS and usable primary-study lists/overlap data; 5 prefer larger evidence base, then more recent search; 6 resolve ties by two-reviewer adjudication; magnitude/direction never used"
